name,id
Afghanistan,004
Albania,008
Algeria,012
American Samoa,016
Andorra,020
Angola,024
Anguila,660
Antigua and Barbuda,028
Argentina,032
Armenia,051
Aruba,533
Australia,036
Austria,040
Azerbaijan,031
Bahamas,044
Bahrain,048
Bangladesh,050
Barbados,052
Belarus,112
Belgium,056
Belgium-Luxembourg,058
Belize,084
Benin,204
Bermuda,060
Bhutan,064
Bolivia,068
Bosnia and Herzegovina,070
Botswana,072
Br. Antr. Terr,080
Brazil,076
British Indian Ocean Ter.,086
British Virgin Islands,092
Brunei,096
Bulgaria,100
Burkina Faso,854
Burundi,108
Cambodia,116
Cameroon,120
Canada,124
Cape Verde,132
Cayman Islands,136
Central African Republic,140
Chad,148
Chile,152
Mainland China,156
Christmas Island,162
Cocos (Keeling) Islands,166
Colombia,170
Comoros,174
Congo (Kinshasa),180
Congo (Brazzaville),178
Cook Islands,184
Costa Rica,188
Cote d'Ivoire,384
Croatia,191
Cuba,192
Cyprus,196
Czech Republic,203
Czechoslovakia,200
Denmark,208
Djibouti,262
Dominica,212
Dominican Republic,214
East Timor,626
Ecuador,218
Egypt,818
El Salvador,222
Equatorial Guinea,226
Eritrea,232
Estonia,233
Ethiopia,230
European Union,918
Faroe Islands,234
Falkland Island,238
Fiji,242
Finland,246
Fm Panama Cz,592
Fm Rhod Nyas,717
Fm Tanganyik,835
Fm Vietnam Dr,868
Fm Vietnam Rp,866
Fm Zanz-Pemb,836
Fr. So. Ant. Tr,260
France,250
Free Zones,838
French Guiana,254
French Polynesia,258
Gabon,266
Gambia,270
Gaza Strip,274
Georgia,268
German Democratic Republic,278
Germany,276
Ghana,288
Gibraltar,292
Greece,300
Greenland,304
Grenada,308
Guadeloupe,312
Guam,316
Guatemala,320
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Holy See,336
Honduras,340
Hong Kong,344
Hungary,348
Iceland,352
India,356
Indonesia,360
Iran,364
Iraq,368
Ireland,372
Israel,376
Italy,380
Jamaica,388
Japan,392
Jhonston Island,396
Jordan,400
Kazakhstan,398
Kenya,404
Kiribati,296
North Korea,408
South Korea,410
Kuwait,414
Kyrgyz Republic,417
Lao PDR,418
Latvia,428
Lebanon,422
Lesotho,426
Liberia,430
Libya,434
Liechtenstein,438
Lithuania,440
Luxembourg,442
Macau,446
"Macedonia, FYR",807
Madagascar,450
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Marshall Islands,584
Martinique,474
Mauritania,478
Mauritius,480
Mexico,484
"Micronesia, Fed. Sts.",583
Midway Islands,488
Moldova,498
Monaco,492
Mongolia,496
Montserrat,500
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nauru,520
Nepal,524
Netherlands,528
Netherlands Antilles,530
Neutral Zone,536
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Niue,570
Norfolk Island,574
Northern Mariana Islands,580
Norway,578
Oman,512
Pacific Islands,582
Pakistan,586
Palau,585
Panama,591
Papua New Guinea,598
Paraguay,600
Pen Malaysia,459
Peru,604
Philippines,608
Pitcairn,612
Poland,616
Portugal,620
Puerto Rico,630
Qatar,634
Reunion,638
Romania,642
Russia,643
Rwanda,646
Ryukyu Is,647
Sabah,461
Saint Helena,654
Saint Kitts-Nevis-Anguilla-Aru,658
Saint Pierre and Miquelon,666
Samoa,882
San Marino,674
Sao Tome and Principe,678
Sarawak,457
Saudi Arabia,682
Senegal,686
Seychelles,690
Sierra Leone,694
SIKKIM,698
Singapore,702
Slovak Republic,703
Slovenia,705
Solomon Islands,090
Somalia,706
South Africa,710
Soviet Union,810
Spain,724
Special Categories,839
Sri Lanka,144
Saint Kitts and Nevis,659
Saint Lucia,662
Saint Vincent and the Grenadines,670
Sudan,736
Suriname,740
Svalbard and Jan Mayen Is,744
Swaziland,748
Sweden,752
Switzerland,756
Syrian Arab Republic,760
Taiwan,158
Tajikistan,762
Tanzania,834
Thailand,764
Togo,768
Tokelau,772
Tonga,776
Trinidad and Tobago,780
Tunisia,788
Turkey,792
Turkmenistan,795
Turks and Caicos Isl.,796
Tuvalu,798
Uganda,800
Ukraine,804
United Arab Emirates,784
UK,826
US,840
Unspecified,898
Uruguay,858
Us Msc.Pac.I,849
Uzbekistan,860
Vanuatu,548
Venezuela,862
Vietnam,704
Virgin Islands (U.S.),850
Wake Island,872
Wallis and Futura Isl.,876
Western Sahara,732
World,000
Yemen,887
Yugoslavia,891
"Yugoslavia, FR (Serbia/Montene",890
Zambia,894
Zimbabwe,716
